threshold,accuracy,precision,recall,f1,falsos_positivos,falsos_negativos,verdaderos_positivos
0.1,0.08791485609925058,0.0066028675310420525,0.9771573604060914,0.013117099928452182,57923,9,385
0.11,0.10184835317085458,0.006653081839873208,0.9695431472081218,0.013215478023213574,57035,12,382
0.12,0.11686819069210908,0.006730547831169521,0.9644670050761421,0.01336780820713067,56079,14,380
0.13,0.1310221046665407,0.006839452843772498,0.9644670050761421,0.013582585695392644,55180,14,380
0.14,0.14613640657472132,0.006923584145358634,0.9593908629441624,0.013747954173486088,54218,16,378
0.15,0.16169154228855723,0.00703279483639891,0.9568527918781726,0.013962962962962963,53229,17,377
0.16,0.1781755778071667,0.00707910711906982,0.9441624365482234,0.014052849290746652,52177,22,372
0.17,0.19421877952012093,0.00718084074059698,0.9390862944162437,0.014252696456086287,51156,24,370
0.18,0.2112223691668241,0.007275971451229183,0.9314720812182741,0.014439154896329229,50073,27,367
0.19,0.2294225077145916,0.007426646645834179,0.9289340101522843,0.014735485948949191,48916,28,366
0.2,0.24822092071289123,0.007529118136439268,0.9187817258883249,0.014935841894623922,47718,32,362
0.21,0.2661848982933434,0.0075862509855733375,0.9035532994923858,0.01504617400308531,46571,38,356
0.22,0.2843220605831602,0.007691131164376079,0.8934010152284264,0.015250969433071207,45415,42,352
0.23,0.3034825870646766,0.007834949712643677,0.8857868020304569,0.0155325114602341,44195,45,349
0.24,0.32243844070785316,0.00791635893648449,0.8705583756345178,0.01569004162664105,42985,51,343
0.25,0.3430001889287739,0.008115569517825693,0.8654822335025381,0.01608035461661794,41677,53,341
0.26,0.36230241199067953,0.008214811181951937,0.850253807106599,0.016272404915723515,40445,59,335
0.27,0.3822029095031173,0.008378050015186798,0.8401015228426396,0.01659064708535913,39177,63,331
0.28,0.4030637949493041,0.008591560363569688,0.8324873096446701,0.017007596380700526,37849,66,328
0.29,0.4233736381384218,0.00878548767591312,0.8223350253807107,0.017385238644595284,36555,70,324
0.3,0.44390389823036713,0.008914260003936898,0.8045685279187818,0.01763315255180086,35244,77,317
0.31,0.4646388311606524,0.009199766355140186,0.799492385786802,0.018190217705145232,33925,79,315
0.32,0.4856729013162038,0.009364548494983277,0.7817258883248731,0.01850739093858911,32582,86,308
0.33,0.5067542036652182,0.00960654386354269,0.7690355329949239,0.018976045091592297,31238,91,303
0.34,0.5270483027898483,0.00962683604605002,0.7385786802030457,0.019005943439357326,29937,103,291
0.35,0.5465237105611185,0.009699354526940734,0.7131979695431472,0.019138430103865147,28690,113,281
0.36,0.5663769758800932,0.00996389891696751,0.700507614213198,0.01964832348544173,27424,118,276
0.37,0.586324705585994,0.01021914386283638,0.6852791878172588,0.02013798247249674,26151,124,270
0.38,0.6063983878077964,0.0104647461403788,0.6675126903553299,0.020606440492047323,24869,131,263
0.39,0.6256691227407267,0.01087775081583131,0.6598984771573604,0.02140270003292723,23642,134,260
0.4,0.644483279803514,0.010890172390988051,0.6269035532994924,0.02140845070422535,22434,147,247
0.41,0.6638957113168336,0.011060294941198432,0.6015228426395939,0.021721198790211713,21191,157,237
0.42,0.6822847786384533,0.011360268695050874,0.583756345177665,0.022286821705426358,20016,164,230
0.43,0.7003117324768562,0.011632171862719413,0.5634517766497462,0.022793777914677345,18863,172,222
0.44,0.7175514830908747,0.01196039163328883,0.5456852791878173,0.023407729994556342,17761,179,215
0.45,0.7340827508029473,0.01224127735068007,0.5253807106598984,0.0239251040221914,16703,187,207
0.46,0.7505195541280937,0.012555205047318612,0.5050761421319797,0.024501354346220142,15651,195,199
0.47,0.7654449272624221,0.01309252047804485,0.4949238578680203,0.025510204081632654,14699,199,195
0.48,0.7791894955601738,0.013560773677824567,0.48223350253807107,0.026379729260673376,13821,204,190
0.49,0.79351659424397,0.013909056171188384,0.4619289340101523,0.027004970695155426,12903,212,182
0.5,0.8067258643491404,0.014386136995259114,0.4467005076142132,0.027874564459930314,12058,218,176
0.51,0.8192581396813401,0.014283210655450403,0.4137055837563452,0.02761307809588345,11249,231,163
0.52,0.8307355626928647,0.014894613583138174,0.4035532994923858,0.028728882464540608,10516,235,159
0.53,0.8412840858996159,0.015213692323090782,0.38578680203045684,0.02927298988926336,9839,242,152
0.54,0.8517066565904654,0.01567028013309005,0.37055837563451777,0.030068993924415612,9171,248,146
0.55,0.8610113987026891,0.015732659623334866,0.3477157360406091,0.03010327400571303,8571,257,137
0.56,0.8699697713961836,0.01576160571358207,0.3248730964467005,0.030064591896652965,7993,266,128
0.57,0.8790698406700674,0.016841267736374486,0.3223350253807107,0.032010081915563954,7414,267,127
0.58,0.8871308016877637,0.017243836397320793,0.30710659898477155,0.03265416273107543,6896,273,121
0.59,0.8945620001259526,0.017750573833205815,0.29441624365482233,0.03348246500216481,6419,278,116
0.6,0.9020876629510675,0.018833636213447878,0.2893401015228426,0.03536528617961843,5939,280,114
0.61,0.9084797531330688,0.019677362169828044,0.2817258883248731,0.0367854183927092,5530,283,111
0.62,0.9146041942187795,0.020221289584128194,0.26903553299492383,0.03761533002129169,5136,288,106
0.63,0.9202090811763965,0.02051702913418137,0.25380710659898476,0.037965072133637055,4774,294,100
0.64,0.9256722715536243,0.021243637973002875,0.2436548223350254,0.03907999185833503,4423,298,96
0.65,0.9310567416084137,0.021378813355753062,0.22588832487309646,0.039060785604564406,4074,305,89
0.66,0.9361105863089615,0.021421107628004178,0.20812182741116753,0.038844149692089054,3746,312,82
0.67,0.9402670193337112,0.021396396396396396,0.19289340101522842,0.03852002027369488,3476,318,76
0.68,0.9451319352604068,0.02255174544331171,0.18527918781725888,0.040209308730377306,3164,321,73
0.69,0.9498551546067132,0.023557528166609765,0.1751269035532995,0.04152873909118267,2860,325,69
0.7,0.9540903079539014,0.025225903614457833,0.1700507614213198,0.043934426229508196,2589,327,67
0.71,0.9583412053655772,0.026094276094276093,0.15736040609137056,0.044765342960288806,2314,332,62
0.72,0.9619623401977454,0.026241799437675725,0.14213197969543148,0.04430379746835443,2078,338,56
0.73,0.9653788021915738,0.026743576297850027,0.12944162436548223,0.04432855280312908,1856,343,51
0.74,0.9687795201209144,0.027364663890541343,0.116751269035533,0.04433734939759036,1635,348,46
0.75,0.9715662195352353,0.02680965147453083,0.10152284263959391,0.042417815482502653,1452,354,40
0.76,0.9746678002393098,0.027972027972027972,0.09137055837563451,0.04283164782867341,1251,358,36
0.77,0.977485987782606,0.02909090909090909,0.08121827411167512,0.0428380187416332,1068,362,32
0.78,0.9795642042949808,0.027196652719665274,0.06598984771573604,0.03851851851851852,930,368,26
0.79,0.9815322123559418,0.02902055622732769,0.06091370558375635,0.03931203931203931,803,370,24
0.8,0.9838151017066565,0.03106508875739645,0.0532994923857868,0.03925233644859813,655,373,21
0.81,0.9856571572517161,0.030852994555353903,0.04314720812182741,0.03597883597883598,534,377,17
0.82,0.9872945399584356,0.035955056179775284,0.04060913705583756,0.03814064362336114,429,378,16
0.83,0.9887115057623276,0.042492917847025496,0.03807106598984772,0.040160642570281124,338,379,15
0.84,0.9899395427923673,0.05128205128205128,0.03553299492385787,0.041979010494752625,259,380,14
0.85,0.9908841866616286,0.05314009661835749,0.027918781725888325,0.036605657237936774,196,383,11
0.86,0.9915769254990868,0.05660377358490566,0.02284263959390863,0.0325497287522604,150,385,9
0.87,0.9921909440141067,0.075,0.02284263959390863,0.03501945525291829,111,385,9
0.88,0.992679010013225,0.08235294117647059,0.017766497461928935,0.029227557411273485,78,387,7
0.89,0.9930096353674664,0.0967741935483871,0.015228426395939087,0.02631578947368421,56,388,6
0.9,0.9932772844637572,0.0975609756097561,0.01015228426395939,0.01839080459770115,37,390,4
