zona_id,fecha,region,tipo_zona,poblacion_zona,cobertura_4g_pct,cobertura_5g_pct,latencia_ms,velocidad_media_mbps,tasa_cortes_pct,indice_calidad_global,incidencia_masiva,calidad_mes_anterior,calidad_media_3_meses
Z01,2023-01-01,Centro,rural,16625,82.46,4.03,56.17,30.61,3.01,18.51,0,,
Z01,2023-01-02,Centro,rural,16625,82.11,4.31,55.69,30.95,3.06,19.61,0,18.51,
Z01,2023-01-03,Centro,rural,16625,82.19,4.56,55.45,31.05,2.96,16.99,0,19.61,18.37
Z01,2023-01-04,Centro,rural,16625,81.9,4.69,55.72,30.43,3.0,20.81,0,16.99,19.136666666666667
Z01,2023-01-05,Centro,rural,16625,81.86,5.38,55.38,30.47,3.01,18.61,0,20.81,18.80333333333333
Z01,2023-01-06,Centro,rural,16625,82.06,5.45,55.8,30.79,3.05,17.12,0,18.61,18.846666666666668
Z01,2023-01-07,Centro,rural,16625,82.05,5.97,56.04,30.84,3.26,19.06,0,17.12,18.263333333333335
Z01,2023-01-08,Centro,rural,16625,81.85,6.68,56.22,31.89,3.36,20.08,0,19.06,18.753333333333334
Z01,2023-01-09,Centro,rural,16625,82.16,7.03,55.97,30.94,3.34,17.84,0,20.08,18.993333333333332
Z01,2023-01-10,Centro,rural,16625,82.23,7.69,55.4,30.27,3.38,21.46,0,17.84,19.793333333333333
Z01,2023-01-12,Centro,rural,16625,82.22,9.44,55.6,30.41,3.35,21.07,0,21.46,20.12333333333333
Z01,2023-11-01,Centro,rural,16625,82.52,9.08,55.82,29.91,3.23,21.34,0,21.07,21.290000000000003
Z01,2024-01-01,Centro,rural,16625,82.12,9.72,54.9,30.64,3.35,23.59,0,21.34,22.0
Z01,2024-01-02,Centro,rural,16625,82.11,10.58,54.85,30.45,3.26,20.16,0,23.59,21.69666666666667
Z01,2024-01-03,Centro,rural,16625,82.46,10.93,55.32,30.71,3.33,22.23,0,20.16,21.99333333333333
Z01,2024-01-04,Centro,rural,16625,82.29,11.54,54.87,32.1,3.26,20.06,0,22.23,20.816666666666666
Z01,2024-01-05,Centro,rural,16625,81.98,12.2,55.44,33.09,3.21,22.31,0,20.06,21.53333333333333
Z01,2024-01-06,Centro,rural,16625,82.22,12.85,54.82,34.71,3.2,24.83,0,22.31,22.399999999999995
Z01,2024-01-07,Centro,rural,16625,82.19,13.14,53.83,36.48,3.27,22.55,0,24.83,23.23
Z01,2024-01-08,Centro,rural,16625,82.06,14.17,53.12,36.05,3.22,22.54,0,22.55,23.30666666666667
Z01,2024-01-09,Centro,rural,16625,82.04,14.68,53.15,37.7,3.12,24.41,0,22.54,23.166666666666668
Z01,2024-01-10,Centro,rural,16625,81.66,15.24,52.52,-37.1,2.96,22.86,0,24.41,23.27
Z01,2024-01-11,Centro,rural,16625,81.93,15.51,52.37,37.43,2.87,25.26,0,22.86,24.176666666666666
Z01,2024-12-01,Centro,rural,16625,82.05,16.52,52.07,37.7,2.8,24.66,0,25.26,24.26
Z01,2025-01-01,Centro,rural,16625,82.06,17.42,50.9,40.54,2.79,27.79,0,24.66,25.903333333333336
Z01,2025-01-02,Centro,rural,16625,81.89,18.43,49.31,42.05,2.62,27.3,0,27.79,26.583333333333332
Z01,2025-01-03,Centro,rural,16625,81.79,19.22,47.83,43.55,2.38,25.21,0,27.3,26.766666666666666
Z01,2025-01-04,Centro,rural,16625,81.7,20.09,46.94,43.71,2.46,24.39,0,25.21,25.633333333333336
Z01,2025-01-05,Centro,rural,16625,81.59,21.35,48.41,44.11,2.33,27.11,0,24.39,25.570000000000004
Z01,2025-01-06,Centro,rural,16625,82.02,21.73,48.01,45.88,2.3,26.75,0,27.11,26.083333333333332
Z01,2025-01-07,Centro,rural,16625,81.99,22.08,47.76,46.34,2.27,26.64,0,26.75,26.833333333333332
Z01,2025-01-08,Centro,rural,16625,82.08,23.08,47.8,47.12,2.25,27.98,0,26.64,27.123333333333335
Z01,2025-01-09,Centro,rural,16625,81.93,23.79,,48.93,2.37,28.81,0,27.98,27.81
Z01,2025-01-10,Centro,rural,16625,81.81,24.13,48.38,48.77,2.38,25.56,0,28.81,27.45
Z01,2025-01-11,Centro,rural,16625,82.03,24.92,47.84,48.05,2.4,28.74,0,25.56,27.703333333333333
Z01,2025-01-12,Centro,rural,16625,81.97,25.52,47.93,47.93,2.52,24.93,0,28.74,26.409999999999997
Z02,2023-01-01,Oeste,suburbana,46400,89.89,10.54,39.72,54.87,1.21,31.86,0,,
Z02,2023-01-02,Oeste,suburbana,46400,89.74,10.63,,55.32,1.48,33.52,0,31.86,
Z02,2023-01-03,Oeste,suburbana,46400,89.89,11.52,40.63,55.81,1.53,32.33,0,33.52,32.57
Z02,2023-01-04,Oeste,suburbana,46400,89.8,12.29,40.07,56.11,1.6,34.25,0,32.33,33.36666666666667
Z02,2023-01-05,Oeste,suburbana,46400,90.0,13.36,40.59,54.56,1.67,31.12,0,34.25,32.56666666666666
Z02,2023-01-06,Oeste,suburbana,46400,89.9,14.36,40.93,54.15,1.67,33.16,0,31.12,32.843333333333334
Z02,2023-01-07,Oeste,suburbana,46400,89.71,14.87,41.04,55.3,1.8,29.74,0,33.16,31.34
Z02,2023-01-08,Oeste,suburbana,46400,89.85,15.74,41.16,56.52,1.69,32.84,0,29.74,31.91333333333333
Z02,2023-01-09,Oeste,suburbana,46400,90.0,16.28,41.71,56.54,1.85,33.12,0,32.84,31.899999999999995
Z02,2023-01-10,Oeste,suburbana,46400,90.15,17.62,41.5,56.57,1.91,33.31,0,33.12,33.09
Z02,2023-01-11,Oeste,suburbana,46400,90.08,18.6,41.36,57.31,1.86,34.8,0,33.31,33.74333333333333
Z02,2023-01-12,Oeste,suburbana,46400,90.32,19.47,40.65,57.41,1.96,35.6,0,34.8,34.57
Z02,2024-01-01,Oeste,suburbana,46400,90.46,20.79,40.81,57.94,2.13,35.88,0,35.6,35.42666666666667
Z02,2024-01-02,Oeste,suburbana,46400,89.96,22.23,40.24,58.21,2.16,33.94,0,35.88,35.13999999999999
Z02,2024-01-03,Oeste,suburbana,46400,89.75,22.8,39.57,58.89,2.11,36.9,0,33.94,35.57333333333333
Z02,2024-01-04,Oeste,suburbana,46400,89.57,23.35,39.35,58.94,2.05,37.62,0,36.9,36.153333333333336
Z02,2024-01-05,Oeste,suburbana,46400,89.72,24.81,39.13,60.01,1.9,37.1,0,37.62,37.20666666666667
Z02,2024-01-06,Oeste,suburbana,46400,89.84,26.17,38.55,61.04,1.81,37.95,0,37.1,37.556666666666665
Z02,2024-01-07,Oeste,suburbana,46400,90.04,26.78,37.59,60.54,1.57,37.61,0,37.95,37.553333333333335
Z02,2024-01-08,Oeste,suburbana,46400,90.16,27.95,37.45,62.42,1.66,39.21,0,37.61,38.25666666666667
Z02,2024-01-09,Oeste,suburbana,46400,90.36,29.19,36.73,62.75,1.49,38.74,0,39.21,38.52
Z02,2024-01-10,Oeste,suburbana,46400,90.19,30.55,37.24,62.68,1.49,38.81,0,38.74,38.92
Z02,2024-01-11,Oeste,suburbana,46400,90.22,31.62,35.87,64.62,1.4,40.28,0,38.81,39.27666666666667
Z02,2024-01-12,Oeste,suburbana,46400,89.96,32.56,35.81,65.39,1.39,41.81,0,40.28,40.300000000000004
Z02,2025-01-01,Oeste,suburbana,46400,90.21,33.63,34.8,67.09,1.33,43.8,0,41.81,41.96333333333333
Z02,2025-01-02,Oeste,suburbana,46400,90.21,34.76,34.83,69.15,1.45,42.78,0,43.8,42.79666666666666
Z02,2025-01-03,Oeste,suburbana,46400,90.18,36.17,,69.55,1.38,43.74,0,42.78,43.44
Z02,2025-01-04,Oeste,suburbana,46400,89.98,36.85,33.22,68.89,1.29,42.96,0,43.74,43.160000000000004
Z02,2025-01-05,Oeste,suburbana,46400,90.33,38.3,32.97,69.65,1.23,43.92,0,42.96,43.54
Z02,2025-01-06,Oeste,suburbana,46400,90.27,39.53,33.06,70.81,1.15,44.85,0,43.92,43.91
Z02,2025-01-07,Oeste,suburbana,46400,90.65,40.62,33.92,70.97,1.22,45.42,0,44.85,44.73
Z02,2025-01-08,Oeste,suburbana,46400,90.43,41.48,34.08,70.41,1.29,47.17,0,45.42,45.81333333333333
Z02,2025-01-09,Oeste,suburbana,46400,90.36,42.53,34.23,70.46,1.38,43.1,0,47.17,45.23
Z02,2025-01-10,Oeste,suburbana,46400,90.19,43.18,33.51,71.75,1.45,45.01,0,43.1,45.093333333333334
Z02,2025-01-11,Oeste,suburbana,46400,89.87,43.74,33.47,73.44,1.49,45.28,0,45.01,44.46333333333334
Z02,2025-01-12,Oeste,suburbana,46400,89.99,44.79,33.62,72.86,1.49,47.75,0,45.28,46.01333333333333
Z03,2023-01-01,Sur,rural,16530,82.07,4.25,54.64,33.74,3.45,18.45,0,,
Z03,2023-01-02,Sur,rural,16530,82.31,4.39,54.94,34.31,3.31,18.02,0,18.45,
Z03,2023-01-03,Sur,rural,16530,82.14,4.74,54.41,33.94,3.22,21.16,0,18.02,19.209999999999997
Z03,2023-01-04,Sur,rural,16530,81.66,4.87,54.06,32.51,3.23,18.72,0,21.16,19.299999999999997
Z03,2023-01-05,Sur,rural,16530,81.72,5.29,54.72,31.32,3.29,20.02,0,18.72,19.966666666666665
Z03,2023-01-06,Sur,rural,16530,81.87,5.94,55.28,32.74,3.29,19.0,0,20.02,19.246666666666666
Z03,2023-01-07,Sur,rural,16530,81.78,6.19,55.01,31.52,3.3,19.89,0,19.0,19.636666666666667
Z03,2023-01-08,Sur,rural,16530,81.85,6.61,55.81,31.9,3.31,18.59,0,19.89,19.16
Z03,2023-01-09,Sur,rural,16530,81.99,,55.31,31.59,3.36,18.62,0,18.59,19.033333333333335
Z03,2023-01-10,Sur,rural,16530,82.03,7.59,56.2,32.43,3.35,20.63,0,18.62,19.28
Z03,2023-01-11,Sur,rural,16530,81.59,8.03,56.06,31.36,3.42,22.76,0,20.63,20.669999999999998
Z03,2023-01-12,Sur,rural,16530,81.5,8.6,,32.74,3.31,20.39,0,22.76,21.26
Z03,2024-01-01,Sur,rural,16530,81.98,8.99,55.46,32.32,3.28,21.84,0,20.39,21.663333333333338
Z03,2024-01-02,Sur,rural,16530,82.03,9.4,55.7,32.08,3.39,19.82,0,21.84,20.683333333333334
Z03,2024-01-03,Sur,rural,16530,81.9,10.43,55.88,32.86,3.22,21.91,0,19.82,21.19
Z03,2024-01-04,Sur,rural,16530,81.75,11.26,54.92,33.61,3.15,19.51,0,21.91,20.413333333333338
Z03,2024-01-05,Sur,rural,16530,81.95,12.02,54.49,35.11,3.12,22.11,0,19.51,21.176666666666666
Z03,2024-01-06,Sur,rural,16530,82.01,12.52,54.55,34.9,3.07,24.33,0,22.11,21.983333333333334
Z03,2024-01-07,Sur,rural,16530,,12.63,54.98,37.29,3.02,19.4,0,24.33,21.946666666666662
Z03,2024-01-08,Sur,rural,16530,81.82,13.39,54.34,36.45,3.04,23.37,0,19.4,22.366666666666664
Z03,2024-01-09,Sur,rural,16530,81.61,14.34,54.78,37.05,2.96,22.55,0,23.37,21.77333333333333
