cliente_id,mes,churn,importe_total,dias_retraso_pago,impago_flag,importe_mes_anterior,consumo_mes_anterior,retraso_mes_anterior,impago_mes_anterior,media_importe_3m,media_retraso_3m,impagos_3m,cambio_consumo,subida_factura,variacion_consumo_pct,stress_calidad_lag,incidencia_masiva_lag,edad,antiguedad_meses,ingreso_estimado,num_lineas,descuento_activo
C000001,2024-01-01,0,43.73,0,0,45.2,1.55,0.0,0.0,44.166666666666664,0.0,0.0,-1.47,-1.470000000000006,-0.946,0.3307,0,18.0,72.0,4335.0,2,0
C000001,2025-01-01,0,51.379999999999995,0,0,43.65,0.0,0.0,0.0,44.25333333333333,0.0,0.0,7.73,7.729999999999997,7.73,0.2317,0,18.0,72.0,4335.0,2,0
C000002,2024-01-01,0,123.01000000000002,0,0,108.82,0.0,0.0,0.0,118.25999999999999,0.0,0.0,3.93,14.190000000000026,3.932,0.5166,0,54.0,35.0,4609.0,2,1
C000002,2025-01-01,0,113.9,0,0,113.35,0.0,0.0,0.0,120.34333333333335,0.0,0.0,0.98,0.5500000000000114,0.98,0.4061,0,54.0,35.0,4609.0,2,1
C000003,2024-01-01,0,46.19,0,0,46.64,0.45,0.0,0.0,46.39333333333334,0.0,0.0,-0.45,-0.45000000000000284,-0.454,0.4807,0,54.0,11.0,1836.0,3,0
C000003,2025-01-01,0,46.19,0,0,46.19,0.0,0.0,0.0,46.19,0.0,0.0,0.0,0.0,0.0,0.4164,0,54.0,11.0,1836.0,3,0
C000003,2025-01-01,1,46.19,0,0,46.19,0.0,0.0,0.0,46.19,0.0,0.0,0.0,0.0,0.0,0.4164,0,54.0,11.0,1836.0,3,0
C000004,2024-01-01,0,23.78,0,0,23.28,1.83,0.0,0.0,24.946666666666662,0.0,0.0,0.5,0.5,2.333,0.5216,0,34.0,13.0,2318.0,1,0
C000004,2025-01-01,0,21.45,39,1,21.45,-0.0,0.0,0.0,21.77,0.0,0.0,0.0,0.0,0.0,0.407,0,34.0,13.0,2318.0,1,0
C000005,2024-01-01,0,91.59,0,0,91.59,0.0,0.0,0.0,91.91333333333334,0.0,0.0,0.0,0.0,0.0,0.4936,0,46.0,21.0,2184.0,2,0
C000005,2025-01-01,0,91.88,0,0,93.98,2.39,0.0,0.0,93.07,7.333333333333333,1.0,-2.1,-2.1000000000000085,-0.88,0.4354,0,46.0,21.0,2184.0,2,0
C000006,2024-01-01,0,57.59,0,0,51.83,0.0,0.0,0.0,51.83,0.0,0.0,5.76,5.760000000000005,5.758,0.4909,0,37.0,86.0,2411.0,3,0
C000006,2025-01-01,0,51.83,0,0,51.83,0.0,0.0,0.0,51.83,0.0,0.0,0.0,0.0,0.0,0.3787,0,37.0,86.0,2411.0,3,0
C000007,2024-01-01,0,72.69,0,0,76.3,3.61,0.0,0.0,79.88,0.0,0.0,-3.61,-3.6099999999999994,-1.0,0.3307,0,39.0,15.0,2369.0,3,0
C000007,2025-01-01,0,76.57,0,0,72.69,0.0,5.0,1.0,72.69,9.0,2.0,3.88,3.8799999999999955,3.877,0.2317,0,39.0,15.0,2369.0,3,0
C000008,2024-01-01,0,136.91,0,0,131.78,0.0,0.0,0.0,131.78,0.0,0.0,5.13,5.1299999999999955,5.131,0.3307,0,22.0,64.0,8088.0,2,0
C000008,2025-01-01,0,142.96,0,0,131.78,0.0,0.0,0.0,135.35666666666668,0.0,0.0,11.18,11.180000000000007,11.18,0.2317,0,22.0,64.0,8088.0,2,0
C000009,2024-01-01,0,347.42,0,0,347.7,0.28,19.0,1.0,347.5133333333333,6.333333333333333,1.0,-0.28,-0.2799999999999727,-0.277,0.3294,0,43.0,25.0,5191.0,5,0
C000009,2025-01-01,0,356.09000000000003,0,0,347.42,0.0,0.0,0.0,347.42,0.0,0.0,8.67,8.670000000000016,8.671,0.2007,0,43.0,25.0,5191.0,5,0
C000010,2024-01-01,0,37.81,0,0,31.130000000000003,0.0,0.0,0.0,33.333333333333336,0.0,0.0,2.76,6.68,2.762,0.5166,0,20.0,13.0,2272.0,1,1
C000010,2025-01-01,0,39.760000000000005,0,0,39.24,5.58,0.0,0.0,40.28333333333334,6.0,1.0,-0.5200000000000005,0.5200000000000031,-0.094,0.4061,0,20.0,13.0,2272.0,1,1
C000011,2024-01-01,0,23.91,31,1,17.54,0.97,0.0,0.0,16.89333333333333,0.0,0.0,6.37,6.370000000000001,6.365,0.503,0,18.0,23.0,2997.0,1,0
C000011,2025-01-01,0,22.01,0,0,16.57,0.0,0.0,0.0,17.273333333333333,0.0,0.0,5.44,5.440000000000001,5.442,0.3871,0,18.0,23.0,2997.0,1,0
C000012,2024-01-01,0,97.81,0,0,95.19,0.0,0.0,0.0,95.7,0.0,0.0,2.62,2.6200000000000045,2.616,0.3413,0,35.0,5.0,3287.0,4,0
C000012,2025-01-01,0,103.12,0,0,96.97,1.78,0.0,0.0,100.00666666666666,0.0,0.0,6.1499999999999995,6.150000000000006,3.457,0.2151,0,35.0,5.0,3287.0,4,0
C000013,2024-01-01,0,24.0,0,0,25.36,4.17,0.0,0.0,23.733333333333324,0.0,0.0,-1.3599999999999999,-1.3599999999999994,-0.327,0.5129,0,37.0,38.0,3148.0,1,0
C000013,2025-01-01,0,21.19,0,0,21.19,0.0,0.0,0.0,21.75666666666666,0.0,0.0,0.0,0.0,0.0,0.3954,0,37.0,38.0,3148.0,1,0
C000014,2024-01-01,0,373.26,0,0,370.2,0.0,19.0,1.0,372.81333333333333,6.333333333333333,1.0,3.06,3.0600000000000023,3.061,0.3307,0,39.0,35.0,2926.0,5,0
C000014,2025-01-01,0,384.09,0,0,383.35,13.15,0.0,0.0,379.0333333333333,16.0,1.0,0.7400000000000002,0.7399999999999523,0.056,0.2317,0,39.0,35.0,2926.0,5,0
C000015,2024-01-01,0,94.77,0,0,94.77,0.0,0.0,0.0,94.77,0.0,0.0,0.0,0.0,0.0,0.5166,0,32.0,32.0,1749.0,2,0
C000015,2025-01-01,0,94.77,0,0,94.77,0.0,0.0,0.0,94.77,0.0,0.0,0.0,0.0,0.0,0.4061,0,32.0,32.0,1749.0,2,0
C000016,2024-01-01,0,61.92,0,0,58.940000000000005,0.13,0.0,0.0,58.85333333333333,0.0,0.0,2.98,2.979999999999997,2.982,0.3267,0,59.0,63.0,3133.0,3,0
C000016,2025-01-01,0,58.81,0,0,61.25,2.44,0.0,0.0,59.623333333333335,7.0,1.0,-2.44,-2.4399999999999977,-1.0,0.2359,0,59.0,63.0,3133.0,3,0
C000017,2024-01-01,0,101.65,0,0,98.95,6.05,0.0,0.0,94.91666666666667,0.0,0.0,2.7,2.700000000000003,0.445,0.5006,0,42.0,21.0,4834.0,2,0
