edad,antiguedad_meses,ingreso_estimado,num_lineas,descuento_activo,importe_total,dias_retraso_pago,impago_flag,importe_mes_anterior,consumo_mes_anterior,retraso_mes_anterior,impago_mes_anterior,media_importe_3m,media_retraso_3m,impagos_3m,cambio_consumo,subida_factura,variacion_consumo_pct,stress_calidad_lag,incidencia_masiva_lag,churn_real,churn_predicho,probabilidad_churn,tipo_error
36.0,40.0,4759.0,2,0,34.73,0,0,36.97,2.24,0.0,0.0,36.8433333333333,0.0,0.0,-2.24,-2.240000000000002,-1.0,0.4354,0,0,0,0.3690185538743541,Verdadero negativo
35.0,10.0,3497.0,4,0,95.7,0,0,94.49,0.0,0.0,0.0,98.29333333333345,6.666666666666667,1.0,1.21,1.210000000000008,1.214,0.2359,0,0,0,0.3968437284079797,Verdadero negativo
32.0,11.0,4679.0,3,0,219.22,0,0,213.05,6.53,0.0,0.0,208.69666666666652,0.0,0.0,6.169999999999999,6.1699999999999875,0.946,0.3427,0,0,0,0.3640615243417995,Verdadero negativo
23.0,43.0,3209.0,3,0,253.55,0,0,252.26,0.0,0.0,0.0,252.26,8.333333333333334,1.0,1.29,1.2900000000000205,1.286,0.3426,0,0,0,0.31390278721921006,Verdadero negativo
33.0,15.0,2744.0,2,0,163.29,0,0,160.26,4.76,0.0,0.0,157.08666666666667,0.0,0.0,3.0300000000000002,3.030000000000001,0.637,0.2359,0,0,0,0.43155437101067606,Verdadero negativo
31.0,26.0,2169.0,2,0,94.16,0,0,91.21,0.0,0.0,0.0,91.42333333333322,0.0,0.0,2.95,2.950000000000003,2.953,0.2359,0,0,0,0.3811497578948378,Verdadero negativo
25.0,46.0,5049.0,3,1,155.05,5,1,166.45000000000002,0.55,0.0,0.0,161.54999999999987,0.0,0.0,1.84,-11.400000000000006,1.841,0.2007,0,0,0,0.2123094494604513,Verdadero negativo
44.0,15.0,4390.0,5,0,407.42,0,0,406.48,0.0,0.0,0.0,407.6933333333333,0.0,0.0,0.94,0.9399999999999977,0.94,0.3504,0,0,0,0.36425717568847316,Verdadero negativo
43.0,36.0,2039.0,4,0,77.76,0,0,77.76,0.0,0.0,0.0,77.76,0.0,0.0,0.0,0.0,0.0,0.4027,0,0,1,0.5124571721417742,Falso positivo
40.0,74.0,2961.0,2,0,30.78,8,1,30.78,0.0,0.0,0.0,30.78,0.0,0.0,0.0,0.0,0.0,0.3426,0,0,0,0.4129083855873492,Verdadero negativo
